"FBSCode";"isChild";"isParent"
2511;1;1
2513;0;1
2514;1;1
2515;0;0
2516;0;0
2517;0;1
2518;0;1
2520;0;1
2531;0;0
2532;0;0
2533;0;0
2534;0;0
2535;0;0
2536;0;1
2537;0;1
2541;1;0
2542;1;0
2543;1;1
2546;0;0
2547;0;0
2549;0;0
2551;0;0
2555;0;1
2556;0;1
2557;0;1
2558;0;1
2559;0;0
2560;0;1
2561;0;1
2562;0;1
2563;0;1
2570;0;1
2571;1;0
2572;1;0
2573;1;0
2574;1;0
2575;0;0
2576;0;0
2577;1;0
2578;1;0
2579;1;0
2580;1;0
2581;1;0
2582;1;0
2586;1;0
2601;0;0
2602;0;0
2605;1;0
2611;0;0
2612;0;0
2613;0;0
2614;0;0
2615;0;0
2616;0;0
2617;0;1
2618;0;0
2619;0;0
2620;0;1
2625;0;0
2630;0;1
2633;0;1
2635;0;0
2640;0;0
2641;0;0
2642;0;0
2645;0;0
2655;1;0
2656;1;0
2657;1;0
2658;0;0
2659;0;0
2680;1;0
2731;0;1
2732;0;0
2733;0;1
2734;1;0
2735;0;0
2736;1;1
2737;1;0
2740;1;0
2743;1;0
2744;0;0
2745;0;0
2761;0;0
2762;0;0
2763;0;0
2764;0;0
2765;0;0
2766;0;0
2767;0;0
2768;0;0
2769;0;0
2775;0;0
2781;0;0
2782;0;0
2805;0;1
2848;0;1
